Team,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%
Manchester City,83,15.8,46,2,61.8,89.4
Bayern Munich,99,17.1,44,3,60.1,85.5
Paris Saint-Germain,86,15,73,7,61.1,89.5
Barcelona,85,15.3,68,2,61.4,89.7
Real Madrid,67,14.4,57,2,57.1,87.7
Manchester United,73,13.8,64,1,54.5,84.8
Juventus,77,15.7,76,6,56.4,88.3
Aston Villa,55,13.7,63,4,49.1,78.6
Borussia Dortmund,75,14.6,43,1,57.2,85.5
Atletico Madrid,67,12.1,100,0,53.8,83.1
Atalanta,90,16.3,66,3,53.5,83.5
Chelsea,58,14.6,49,3,58.8,87
Liverpool,68,16,40,0,59,85.7
AC Milan,74,14.7,80,4,53.4,84
Lille,64,12.8,67,2,53.6,83.5
Tottenham,68,11.7,53,2,51.3,81.8
Napoli,86,17,71,3,55.1,87
Leicester,68,12.8,61,0,56.2,82.1
Wolfsburg,61,14.1,56,3,51,78
Inter,89,14.5,59,2,53,87
Lyon,81,16.1,60,9,54.6,84.7
RB Leipzig,60,16,57,0,57.3,83.2
Leeds,62,13.7,61,1,54.1,80.8
West Ham,62,12.3,48,3,44.5,77.8
Everton,47,10.5,59,2,47.3,81.4
Bayer Leverkusen,53,13,58,0,57.3,84.4
Eintracht Frankfurt,69,13.2,80,1,52.4,79.6
Monaco,76,12.8,74,7,57.2,82.7
Roma,68,14.3,84,3,51.5,84.5
Sevilla,53,12.1,75,2,58.7,86.2
Borussia M.Gladbach,64,13.4,61,2,51.5,82
Arsenal,55,12.1,47,5,52.7,85
Rennes,52,13.5,80,5,56.8,85.6
VfB Stuttgart,56,13.4,63,2,51.5,81.1
Wolverhampton Wanderers,36,12.2,53,1,49.7,83.2
Sassuolo,64,13.9,74,4,58.9,87.8
Metz,44,11.5,82,4,46.9,79.8
Villarreal,60,10.7,65,5,53.3,84.4
Real Sociedad,59,11.3,81,1,53.7,80.8
Brighton,40,12.8,45,6,50.7,81.3
Real Betis,50,11.7,87,8,52.9,82
Burnley,33,10.1,48,0,43.5,71.6
Lens,55,11.7,84,7,51.1,81.8
Brest,50,11.8,60,4,49.4,81.3
Fulham,27,11.6,67,3,50,81.2
Marseille,54,10,94,9,52.4,82
Sampdoria,52,11.3,81,3,46.1,78.5
Montpellier,60,12.2,65,7,46.4,78.8
Nice,50,10.8,69,4,53.4,85.6
Hoffenheim,52,12.6,65,4,50.8,80.7
Southampton,47,11.2,52,3,51.4,79.3
Newcastle United,46,10.4,61,3,41.6,76
Lazio,61,13.8,100,5,52.2,83.8
Nantes,47,10.8,68,4,45.2,77
Union Berlin,50,11.7,55,2,45.9,76.2
Strasbourg,49,11.3,56,3,45.5,78.3
Crystal Palace,41,9.2,54,2,42.9,76.1
Freiburg,52,11.4,63,0,47.5,78.1
Valencia,50,10.3,77,5,47.9,79.4
Celta Vigo,55,9.4,104,5,52,79.9
Reims,42,9.6,75,8,46.3,80.7
Torino,50,12.2,72,4,48,80.5
Verona,43,10.6,91,1,49.6,76.3
Saint-Etienne,42,11.6,76,2,47,79.3
Bordeaux,42,11.1,74,4,50.2,83.3
Hertha Berlin,41,11.3,63,3,49.8,79.5
Cagliari,43,11.4,73,3,45.8,79.8
Mainz 05,39,11.1,61,1,42.7,71.3
Bologna,51,13.1,78,4,50.7,81.5
Augsburg,36,9.9,65,4,44,73.6
Udinese,42,10.9,63,2,47.2,82.5
SD Huesca,34,10.7,68,2,48.7,79.8
Athletic Bilbao,46,10.6,81,3,49.4,78.5
Osasuna,37,9.8,74,5,44.6,70.2
Lorient,50,11.2,67,3,45.9,78.8
Genoa,47,9,85,2,46.1,79.7
Arminia Bielefeld,26,9.8,52,1,44.1,74.6
Angers,40,10.7,63,2,47.1,81.3
Eibar,29,11.9,67,3,49.2,72.6
Werder Bremen,36,10.6,63,3,45.2,76.2
Fiorentina,47,9.8,86,5,46.8,81
Nimes,40,10.3,57,5,45.8,77.5
West Bromwich Albion,35,8.9,51,4,41,72.2
FC Koln,34,10.6,62,1,47.1,77.3
Deportivo Alaves,36,9.1,87,8,44.6,72.9
Levante,46,10.1,70,1,50.5,80.1
Spezia,52,10.2,92,5,50.6,81.1
Getafe,28,9.5,107,7,44.4,66.5
Parma Calcio 1913,39,10.4,91,1,49.4,82.5
Elche,34,7.1,95,3,49.1,81.5
Granada,47,9.4,96,6,43.4,70
Cadiz,36,8,77,3,38.5,68.8
Real Valladolid,34,9.7,93,4,46.2,74.8
Sheffield United,20,8.5,73,3,43,76.9
Crotone,45,9.5,85,4,44.2,80.4
Benevento,40,11,90,5,44.2,77.7
Dijon,25,9.2,75,5,45.9,80
Schalke 04,25,8.9,70,2,45.2,76.5
