,acousticness,danceability,energy,instrumentalness,music_genre
4,0.949,0.0906,0.00555,0.983,1
9,0.996,0.517,0.0229,0.958,1
11,0.887,0.205,0.157,0.8190000000000001,1
16,0.963,0.1939999999999999,0.0258,0.508,1
17,0.964,0.313,0.1889999999999999,0.000247,1
18,0.993,0.477,0.0036,0.936,1
24,0.974,0.206,0.0667,0.218,1
25,0.972,0.178,0.0798,0.0865,1
29,0.8059999999999999,0.157,0.0286,2.64e-05,1
32,0.969,0.166,0.0499,0.914,1
36,0.818,0.172,0.159,0.121,1
38,0.949,0.176,0.024,0.531,1
40,0.547,0.47,0.335,1.09e-06,1
44,0.272,0.349,0.366,0.21,1
45,0.905,0.171,0.309,0.925,1
46,0.993,0.293,0.00966,0.11,1
50,0.964,0.107,0.0227,0.679,1
54,0.913,0.0632,0.102,0.8420000000000001,1
55,7.730000000000001e-05,0.422,0.879,0.0484,1
59,0.902,0.428,0.306,0.6859999999999999,1
61,0.988,0.431,0.0283,0.551,1
62,0.8859999999999999,0.1669999999999999,0.057,0.882,1
65,0.994,0.318,0.0141,0.92,1
66,0.00402,0.555,0.8859999999999999,0.0,1
70,0.835,0.332,0.23,4.49e-05,1
72,0.934,0.119,0.0036299999999999,0.236,1
75,0.951,0.441,0.0544,0.000127,1
77,0.537,0.479,0.715,0.441,1
79,0.993,0.29,0.0183,0.938,1
82,0.785,0.183,0.131,0.899,1
86,0.936,0.2289999999999999,0.085,0.773,1
92,0.916,0.0773,0.025,0.889,1
94,0.0009119999999999,0.0918,0.97,0.000696,1
96,0.972,0.2239999999999999,0.201,0.902,1
97,0.807,0.447,0.344,0.757,1
99,0.384,0.519,0.38,0.889,1
100,0.0001629999999999,0.505,0.978,0.268,1
101,0.982,0.089,0.00772,0.953,1
103,4.03e-05,0.285,0.894,0.0,1
105,0.0128,0.341,0.931,6.02e-06,1
109,0.787,0.108,0.1169999999999999,0.821,1
111,0.908,0.365,0.158,0.0,1
125,0.959,0.445,0.272,0.87,1
128,0.947,0.184,0.104,0.946,1
129,0.902,0.211,0.17,0.161,1
131,0.51,0.218,0.104,0.6920000000000001,1
133,5.9e-05,0.272,0.931,0.0676,1
137,0.885,0.086,0.287,0.804,1
138,0.989,0.163,0.00374,0.945,1
140,0.973,0.247,0.0949,0.0279,1
141,0.995,0.317,0.139,0.908,1
151,1.04e-05,0.488,0.978,4.07e-05,1
155,0.209,0.102,0.124,0.926,1
161,0.939,0.321,0.207,0.908,1
162,0.983,0.176,0.0287,0.472,1
169,2.68e-06,0.358,0.938,0.311,1
172,0.992,0.0973,0.0423,0.0286,1
174,0.000269,0.544,0.952,0.0196,1
175,0.563,0.484,0.381,0.5710000000000001,1
176,0.901,0.0638,0.147,0.946,1
178,0.986,0.3989999999999999,0.047,0.00775,1
181,0.954,0.231,0.0586,0.499,1
182,1.74e-05,0.422,0.7929999999999999,0.789,1
186,0.4589999999999999,0.0628,0.0255,0.907,1
193,0.291,0.315,0.5539999999999999,0.0,1
194,0.0847,0.499,0.591,1.03e-06,1
195,0.787,0.14,0.257,0.909,1
199,0.945,0.147,0.0916,0.6709999999999999,1
203,0.987,0.0833,0.0506,0.919,1
205,0.903,0.385,0.155,0.907,1
207,0.905,0.4629999999999999,0.45,0.0064099999999999,1
212,0.937,0.122,0.0571,0.946,1
213,0.994,0.361,0.0437,0.7559999999999999,1
214,0.866,0.34,0.108,0.917,1
219,0.98,0.427,0.281,0.696,1
222,0.981,0.146,0.0158,0.982,1
226,0.74,0.47,0.325,0.906,1
229,0.937,0.143,0.184,0.7659999999999999,1
233,0.992,0.238,0.00941,0.927,1
235,0.0004559999999999,0.231,0.335,0.8390000000000001,1
244,0.000109,0.139,0.985,0.000678,1
245,0.993,0.322,0.0864,0.7240000000000001,1
246,0.986,0.3989999999999999,0.0247,0.926,1
248,0.991,0.0765,0.0213,0.68,1
249,0.868,0.564,0.332,0.2019999999999999,1
